fecha_medicion,id,publicado,tipo,permalink,likes,comentarios,alcance,guardados,compartidos,reproducciones,titulo
2026-08-23,18128384266670116,2026-08-22,VIDEO,https://www.instagram.com/reel/DcWR_R_kQvX/,9,0,436,0,3,687,Sábado a la noche. El consultorio cerrado hace seis horas y alguien necesita turno para el
2026-08-23,18106364834133373,2026-08-21,IMAGE,https://www.instagram.com/p/DcTwDRhoAvj/,2,0,129,0,1,,Carrusel: el cliente completa un formulario → se valida → queda registrado → sale la confi
2026-08-23,17901041043560183,2026-08-20,IMAGE,https://www.instagram.com/p/DcRLaiKEY_p/,2,0,134,0,1,,Webs que cargan rápido y traen consultas. Tiendas online conectadas a tu stock. Sistemas d
2026-08-23,18131457391635782,2026-08-19,VIDEO,https://www.instagram.com/reel/DcPQGGHFVsS/,5,0,120,0,1,237,"Envíos, horarios, precios, medios de pago, dirección. Las mismas cinco preguntas todos los"
2026-08-23,18574493362068215,2026-08-19,IMAGE,https://www.instagram.com/p/DcOmgpzEbT9/,3,0,118,0,1,,El camino corto:
2026-08-23,17943647520276227,2026-08-18,IMAGE,https://www.instagram.com/p/DcMgk1tkmxu/,4,0,51,0,0,,"Y el día que esa persona se toma vacaciones, tu negocio se las toma con ella."
2026-08-23,18110656610046331,2026-08-17,VIDEO,https://www.instagram.com/reel/DcKGhiKD-EV/,7,0,269,0,2,413,"Un tablero lleno de números que no cambian ninguna decisión no es un tablero, es decoració"
2026-08-23,18618676138011545,2026-08-17,IMAGE,https://www.instagram.com/p/DcJcQWgFZvp/,6,0,141,0,1,,Contámela en comentarios. Voy a responder una por una diciéndote si se puede resolver con 
2026-08-23,17905577064531280,2026-08-16,IMAGE,https://www.instagram.com/p/DcG3JCjIJlz/,5,0,145,0,1,,Cobrar por hora premia la lentitud y castiga la experiencia. Cotizo por alcance: qué probl
2026-08-23,18110978489009188,2026-08-15,IMAGE,https://www.instagram.com/p/DcESUgAlr44/,4,0,202,0,2,,"Tomá lo que vale una hora tuya y multiplicalo por las horas que pasás copiando datos, cont"
2026-08-23,18102433766350089,2026-08-14,VIDEO,https://www.instagram.com/reel/DcCX954k4Po/,2,0,84,0,0,160,Las ausencias casi nunca son falta de respeto: es algo que se acordó hace tres semanas y q
2026-08-23,18112041661797385,2026-08-14,IMAGE,https://www.instagram.com/p/DcBwtO1Ebbo/,6,0,133,0,1,,Carrusel:
2026-08-23,18091342928452164,2026-08-13,IMAGE,https://www.instagram.com/p/Db_MeA7idUE/,10,0,129,0,1,,"Es una demo, no un cliente: la hice justamente para que se entienda sin tener que imaginár"
2026-08-23,18115154878936436,2026-08-12,VIDEO,https://www.instagram.com/reel/Db9QRKggAeT/,6,0,163,0,1,275,El link de pago viaja en el mismo mensaje donde confirmás. Se reserva recién cuando se pag
2026-08-23,17890717479418093,2026-08-12,IMAGE,https://www.instagram.com/p/Db8nxceoA5S/,7,0,209,0,2,,Tres preguntas que te ahorran dolores de cabeza:
2026-08-23,18105665657613187,2026-08-11,IMAGE,https://www.instagram.com/p/Db6C_4nIKtn/,6,1,67,0,0,,"Si tu forma de trabajar cambia según el día y según quién pregunta, ningún sistema te va a"
2026-08-23,18091032554117531,2026-08-10,VIDEO,https://www.instagram.com/reel/Db4GX2eCRoG/,12,0,264,0,1,439,"Alguien completa el formulario de tu web y el mensaje te llega al celular con el nombre, e"
2026-08-23,18147177559549114,2026-08-10,IMAGE,https://www.instagram.com/p/Db3dyrvlERj/,10,0,157,1,1,,"Realidad: cuanto más chico sos, más caro te sale el desorden. Si sos vos solo, cada hora q"
2026-08-23,18111171706795413,2026-08-09,IMAGE,https://www.instagram.com/p/Db02o-PlVrx/,8,0,190,0,1,,"Videollamada para entender el problema, un mapa del proceso por escrito, entregas parciale"
2026-08-23,17866309542639510,2026-08-08,IMAGE,https://www.instagram.com/p/DbyRpPcIO1S/,9,0,83,0,0,,Las ausencias y los pedidos que se caen casi nunca son falta de respeto. Son algo que se a
2026-08-23,18133442143527975,2026-08-07,IMAGE,https://www.instagram.com/p/DbvvRYLoJcz/,10,0,93,0,0,,"Carrusel, una por slide:"
2026-08-23,18386270902165782,2026-08-07,IMAGE,https://www.instagram.com/p/Dbvk69oOfSw/,9,0,244,0,2,,No es un producto que te vendo y te adaptás. Es al revés: miro cómo trabajás hoy y el sist
2026-08-23,18229540477319988,2026-08-05,IMAGE,https://www.instagram.com/p/Dbqp8Z7Dlpv/,11,0,96,0,0,,Cada una te devuelve horas por semana:
2026-08-23,18094654673575046,2026-08-05,IMAGE,https://www.instagram.com/p/DbqabLquNAK/,33,1,497,1,6,,Ninguna de estas tres necesita un proyecto de 6 meses.
